team_id,team,conference,mascot,city,state,color_primary,color_secondary
0,UCF,AAC,Knights,Orlando,Florida,#BA9B37,#000000
1,Cincinnati,AAC,Bearcats,Cincinnati,Ohio,#E00122,#000000
2,Uconn,AAC,Huskies,Storrs,Connecticut,#000E2F,#FFFFFF
3,ECU,AAC,Pirates,Greenville,North Carolina,#592A8A,#FDC82F
4,Houston,AAC,Cougars,Houston,Texas,#C8102E,#B2B4B2
5,Memphis,AAC,Tigers,Memphis,Tennessee,#003087,#898D8D
6,USF,AAC,Bulls,Tampa,Florida,#006747,#CFC493
7,SMU,AAC,Mustangs,Dallas,Texas,#0033A0,#C8102E
8,Temple,AAC,Owls,Philadelphia,Pennsylvania,#9D2235,#FFCD00
9,Tulane,AAC,Green Wave,New Orleans,Louisiana,#006747,#418FDE
10,Tulsa,AAC,Golden Hurricane,Tulsa,Oklahoma,#002D72,#C8102E
11,Wichita State,AAC,Shockers,Wichita,Kansas,#FFCD00,#000000
12,Boston College,ACC,Eagles,Chestnut Hill,Massachusetts,#98002E,#BC9B6A
13,Clemson,ACC,Tigers,Clemson,South Carolina,#F56600,#522D80
14,Florida State,ACC,Seminoles,Tallahassee,Florida,#782F40,#CEB888
15,Louisville,ACC,Cardinals,Louisville,Kentucky,#AD0000,#000000
16,NC State,ACC,Wolfpack,Raleigh,North Carolina,#CC0000,#000000
17,Notre Dame,ACC,Fighting Irish,Notre Dame,Indiana,#0C2340,#C99700
18,Syracuse,ACC,Orange,Syracuse,New York,#D44500,#3E3D3C
19,Wake Forest,ACC,Demon Deacons,Winston-Salem,North Carolina,#9E7E38,#000000
20,Duke,ACC,Blue Devils,Durham,North Carolina,#003087,#FFFFFF
21,Georgia Tech,ACC,Yellow Jackets,Atlanta,Georgia,#B3A369,#003057
22,Miami,ACC,Hurricanes,Coral Gables,Florida,#F47321,#005030
24,Pittsburgh,ACC,Panthers,Pittsburgh,Pennsylvania,#003594,#FFB81C
25,Virginia,ACC,Cavaliers,Charlottesville,Virginia,#232D4B,#F84C1E
26,Virginia Tech,ACC,Hokies,Blacksburg,Virginia,#630031,#CF4420
27,Indiana,Big Ten,Hoosiers,Bloomington,Indiana,#990000,#EEEDEB
28,Maryland,Big Ten,Terrapins,College Park,Maryland,#E03A3E,#FFD520
29,Michigan,Big Ten,Wolverines,Ann Arbor,Michigan,#00274C,#FFCB05
30,Michigan State,Big Ten,Spartans,East Lansing,Michigan,#18453B,#FFFFFF
31,Ohio State,Big Ten,Buckeyes,Columbus,Ohio,#BB0000,#666666
